"산업및매출액규모별(1)",산업및매출액규모별(2),산업및매출액규모별(3),2021,2021,2021,2021,2021,2021,2021
"산업및매출액규모별(1)",산업및매출액규모별(2),산업및매출액규모별(3),응답기업수 (개),사내 공식적인 교육이나 인력개발 과정 없음 (%),사내 공식적인 교육이나 인력개발 과정 보유 (%),지속적으로 사내 공식 교육 및 인력개발 과정 운영 (%),조직목표 인재 유치 및 경력개발 경로와 통합된 인력개발 과정 운영 (%),전사적 협력을 통한 인력개발 과정의 지속적인 업데이트와 보완 진행 (%),혁신 및 미래지향적 인력개발 프로그램의 운영 (%)
"전체",녹색/환경산업,5~20억원 미만,24,91.7,4.2,4.2,0.0,0.0,0.0
"전체",녹색/환경산업,20~50억원 미만,37,91.9,8.1,0.0,0.0,0.0,0.0
"전체",녹색/환경산업,50~80억원 미만,19,94.7,0.0,0.0,5.3,0.0,0.0
"전체",녹색/환경산업,80~120억원 미만,16,93.8,6.3,0.0,0.0,0.0,0.0
"전체",녹색/환경산업,120~200억원 미만,17,94.1,5.9,0.0,0.0,0.0,0.0
"전체",녹색/환경산업,200~500억원 미만,25,76.0,12.0,12.0,0.0,0.0,0.0
"전체",녹색/환경산업,500~1500억원 미만,10,60.0,10.0,20.0,0.0,10.0,0.0
"정보화발전단계",단위정보화 단계,소계,5,100.0,0.0,0.0,0.0,0.0,0.0
"정보화발전단계",기업내통합단계,소계,114,95.6,2.6,1.8,0.0,0.0,0.0
"정보화발전단계",기업간협력단계,소계,3685,76.2,13.0,7.1,1.8,1.4,0.5
"정보화발전단계",전략적혁신단계,소계,196,43.9,21.9,11.2,6.6,9.2,7.1
